Capability L1,L1 Description/Definition,Capability L2,L2 Description/Definition,Capability L3,L3 Description/Definition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Innovation Management,"The Innovation Management (IM) capability helps exploit IT in new and pioneering ways to satisfy business objectives. Increase innovation throughput from the IT function by fostering a pioneering culture informed by approaches, methods, and tools for innovative thinking and problem solving. Incentivize collaboration with other business units to identify novel uses of IT to support business operations, products, and services.
Improve accountability for innovation management by measuring business value and other meaningful metrics.
Promote informed risk taking – for example, by:
Harvesting key learnings from unsuccessful innovation initiatives using non-accusatory approaches.
Supporting innovative performance of teams and individual employees.
Providing more control over how employees approach solving business challenges. By developing an effective Innovation Management (IM) capability, an organization can implement appropriate innovation practices that fit with its specific context, allowing the IT function to facilitate technology-driven business innovation.",Up-front Analysis & Design,"Assess possible new technology research proposals in the light of customer needs, market analysis, financial analysis, and alignment with the technical strategy; and produce a clear product or solution definition that reduces the risk of spending on inappropriate research projects. e.g. 1. APC is involved in the IDEA Lab, for technolgy scouting and new solutions design ; e.g.2 For Cloud technologies, CLOUDCOMP is in charge of carrying out cloud technology analysis; e.g.3.  NETSERV has the following subject matter areas:  Network, Network Management, wifi, DNS/DHCP, Firewall, IDS/IPS, DDOS, VPN, One-Time-Password, Proxies, reverse-proxies, web content filtering, SSL-VPN, EPNet, public DNS,  Streaming-VoD, IPTV TVDis, video multicast distribution; network and security aspects related to data centers; e.g. 4. EVOTE service is responsible for analysing and further designing for technological evolution the complete electronic voting specific infrastructure: hardware, software, telecommunication.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",App. Configuration Management,"Manage the software, application, platform, and service component configurations and inter-relationships. e.g.1:  HOSTOPER is providing specific support for Apps not eligible to standard tools and automation; Manage the various Off-The-Shelf software (SAP, BI, Documentum, Informatica...) such us:  installing the cots, ensuring maintainance, patching, troubleshooting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Deployment and Release Management,"Manage the integration, test, and deployment of solutions, and their delivery into production. e.g.1 HOSTOPER is ensuring R&D for Apps on-prem or in the Cloud in the various required environments (DEV/PP/FP/PROD); e.g.2 in the case of EVOTE service is the Electronic Voting solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Develop/Integrate Solutions,"Develop, assemble, and integrate solutions based on design principles and standards – for example, multi-tier
architecture, coding, and security. e.g.1. in the case of EVOTE service is the Electronic Voting solution",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Environment Management,"Manage the environments for all solution delivery activities. e.g. 1: HOSTGROW supervises the BUILD and maintenance of the environments, HOSTOPER performs operational tasks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Feedback and Analytics,"Gather, analyse, and respond to feedback and analytics (e.g. instrumentation, survey, user comments) e.g.1: HOSTOPER is in charge of advanced analyses with introspection tools (advanced analysis); e.g. 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",IT Solutions Design,"Apply architecture principles and guidelines to inform the design of IT solutions to meet
requirements. e.g.1. APC is not managing the life cycle of applications, but doing solutions design in IT infrastructure e.g.2. IAM Service - advises and supports design of architectures for the topics of authentication & authorization e.g.3. in the case of EVOTE service is the Electronic Voting solution that combines both hardware and software components
 
e.g. INNOVIT designs solutions based on leading-edge technologies. Following a validated Proof on Concept (see Innovative Solution Prototyping capability) the solution concept is evolved with a view to designing production-ready applications or services to address clients' requirements and deliver tangible benefits. These solutions will be subject to all normal controls in terms of security and data protection. They will only be built on proven technology in the second or third quarter of the Technology Clock.
 

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Product Management,"Manage features, requirements, priorities, and relationships.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",QA/Test,"Manage and conduct quality assurance and testing activities (e.g. requirements testing, code review, regression testing, user acceptance). e.g.1: HOSTOPER is in charge of delivering Load and performance testing e.g.2 EVOTE service is testing both the software and the physical/hardware components",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Team Formation,"Establish appropriate team structures to facilitate collaboration.

",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Toolchain Management,"Coordinate platform and pipeline management for provisioning, developing, delivering, and monitoring applications. e.g. APC provides solutions in this area and manages the evolution of tools. Day to day management of those platforms is done by the operational units (e.g. OPR, HHS) e.g.1: HOSTGROW selects and deploy the tools, HOSTOPER operates them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",IT Solution Delivery,"The IT Solution Delivery capability is the ability to design, develop, validate, and
deploy IT solutions that effectively address the organization’s business requirements and
opportunities. The IT Solution Delivery capability covers:
Managing requirements (functional and non-functional) and their traceability throughout
the IT solution’s delivery life cycle.
Developing IT solutions based on the output from requirements analysis and the
solution’s architecture.
Selecting appropriate methods and IT solutions delivery life cycle models (for example,
waterfall, incremental, agile).
Reviewing and testing IT solutions throughout the development process.
Managing changes and releases that occur during the IT solution’s delivery life cycle.",Understanding Needs,"Identify and understand user/customer needs (e.g. user requirements, analytics, feedback, issues).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Knowledge Management,"The Knowledge Management capability is the ability to identify, capture, classify, analyse, share, and exploit knowledge to improve organizational performance.",Culture,"Establish and implement management practices and resources to embed beliefs, attitudes, and behaviours that motivate individuals to discover, capture, create, and share knowledge.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Knowledge Management,"The Knowledge Management capability is the ability to identify, capture, classify, analyse, share, and exploit knowledge to improve organizational performance.",Knowledge Discovery and Capture,"Establish the mechanisms (processes, roles, skillsets, sources, and linkages — e.g. agent networks, connection to experts) to locate, evaluate, assemble, and record knowledge that exists either inside or outside the organization, as directed by, for example, the KM strategy or specific investigation requests.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Knowledge Management,"The Knowledge Management capability is the ability to identify, capture, classify, analyse, share, and exploit knowledge to improve organizational performance.",Knowledge Sharing,"Establish mechanisms to facilitate the sharing and use of existing knowledge among stakeholders, such as a collaboration network or community of practice. Report knowledge insights to stakeholders — for example, competitive intelligence, knowledge synthesis, and lessons learned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Knowledge Management,"The Knowledge Management capability is the ability to identify, capture, classify, analyse, share, and exploit knowledge to improve organizational performance.",Skill Development,"Define requisite employee skills for specialist and non-specialist roles in knowledge management activities. Identify training requirements to develop employees' skills in knowledge management practices and the use of knowledge processes, tools, and technologies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Knowledge Management,"The Knowledge Management capability is the ability to identify, capture, classify, analyse, share, and exploit knowledge to improve organizational performance.",Tools and Technologies,"Provide and report on the availability of tools, technologies, techniques, and application guidelines and checklists to support knowledge management activities such as discovery, acquisition, and sharing (e.g. social media), and knowledge asset management activities such as organization, classification, and analysis (e.g. a knowledge repository).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Programme Management,"The Programme Management capability is the ability to assemble and assign resources to identify, select, approve, oversee, and deliver value from programme co-ordinated components (i.e. subprogrammes and projects). Managing the programme will prioritize, monitor, track, analyse, and report on programmes and programme components. It will also leverage component synergies.",Programme Management Supporting Expertise and Tools,"Provide an appropriate tool set and access to experts on communications, procurement and contract management, financial planning and control, risk management, programme domain expertise, etc. These experts may be part of the programme team or may come from other parts of the organization, or may be provided by an outside consultancy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Change Management,"Establish an approach for identifying, planning, implementing, managing, and sustaining project-related changes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Closure Management,Develop and document project closure criteria (inclusive of administrative closure) and the processes to be used when closing a project.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Communication,"Plan, execute, and control project information flows within the project team and between the project team and other project stakeholders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Cost Management,"Identify, document, and use processes and procedures to estimate project costs and secure project budget(s). Oversee and control expenditure from project budgets.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Governance,"Establish project governance and oversight practices and structures. Outline the composition and scope of governance bodies, and matters such as decision rights and authorization, reporting arrangements, and issue escalation protocols. Establish who is responsible for compliance with obligations, and for evaluating, leading, controlling, and monitoring project activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Initiation Management,Appoint and provide the project manager with formal approval and governance guidelines for the project and the application of organizational resources to project activities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Management Methodology,Select an appropriate project management methodology that matches the nature of the project and is most appropriate to the mode of work of the project assigned resources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Performance Management,"Identify and define key performance indicators that can be measured, recorded, and analysed to reveal project performance improvement opportunities. Measure project performance indicators to ensure that project execution is controlled and managed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Quality Management,"Establish an appropriate quality management approach that addresses the quality of project-related activities, workmanship, professional behaviours, and project artefacts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Resourcing,"Identify and obtain commitment from all resource managers (internal and external) that they will make resources available for project activities in respect of the skill sets, tools and other resources required on the project.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Risk Management,Establish an approach to identify and manage project-related risks.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Stakeholder Interactions Management,"Identify relevant stakeholders and through engagement, identify their project needs and aspirations. Establish and apply approaches that are effective in communicating; in motivating and securing stakeholder support; buy-in; and the ownership of key initiatives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Management,"The Project Management capability is the ability to assign resources to initiate, plan, execute, monitor, control, and close projects that deliver project objectives within agreed variances of cost, timeliness, quality, and scope of works. Projects are temporary (PMI, 2017b) and may deliver temporary or semi-permanent infrastructure, new capabilities, unique or new products or services, learning and awareness that a business can leverage.",Project Time Management Planning,"Identify, document, and sequence programme projects based on their interdependencies and available resources.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Portfolio Management,"The Project Portfolio Management  capability is the ability to select, approve and balance project portfolio components (projects, programmes, or sub-portfolios) to deliver the organization's strategic objectives and its operational needs. Managing the project portfolio will prioritize, monitor, track, analyse, report, and as necessary, terminate project portfolio components that plan to, or that currently consume organizational resources.
 
{old description} 
The main purpose of this sub-business area is the centralised management of the processes, methods and technologies used by projects managers and project management offices to analyse and manage current or proposed projects based on numerous key characteristics.

IT Portfolio management is the process of supervising and maintaining the entire pool of IT resources across an enterprise in terms of their investment and financial viability

IT project management is the process of planning, organizing and delineating responsibility for the completion of organizations' specific information technology goals.",Components' Contribution Recognition Methods,"
Select methods and processes that identify the contributions that project portfolio components can make to the organization's strategic objectives.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Portfolio Management,"The Project Portfolio Management  capability is the ability to select, approve and balance project portfolio components (projects, programmes, or sub-portfolios) to deliver the organization's strategic objectives and its operational needs. Managing the project portfolio will prioritize, monitor, track, analyse, report, and as necessary, terminate project portfolio components that plan to, or that currently consume organizational resources.
 
{old description} 
The main purpose of this sub-business area is the centralised management of the processes, methods and technologies used by projects managers and project management offices to analyse and manage current or proposed projects based on numerous key characteristics.

IT Portfolio management is the process of supervising and maintaining the entire pool of IT resources across an enterprise in terms of their investment and financial viability

IT project management is the process of planning, organizing and delineating responsibility for the completion of organizations' specific information technology goals.","Methods to Rank, and Select Projects Portfolio Components","Establish (or identify) and select methods to rank, rate, and select project portfolio components for their strategic contributions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Technology,"The Information Technology capability is the ability to deliver information and communication technology (ICT) services and solutions to the Parliament in line with current and future business needs whilst leveraging, innovation opportunities, to continually improve the ICT offering to Members and staff.     
",Project Portfolio Management,"The Project Portfolio Management  capability is the ability to select, approve and balance project portfolio components (projects, programmes, or sub-portfolios) to deliver the organization's strategic objectives and its operational needs. Managing the project portfolio will prioritize, monitor, track, analyse, report, and as necessary, terminate project portfolio components that plan to, or that currently consume organizational resources.
 
{old description} 
The main purpose of this sub-business area is the centralised management of the processes, methods and technologies used by projects managers and project management offices to analyse and manage current or proposed projects based on numerous key characteristics.

IT Portfolio management is the process of supervising and maintaining the entire pool of IT resources across an enterprise in terms of their investment and financial viability

IT project management is the process of planning, organizing and delineating responsibility for the completion of organizations' specific information technology goals.",Project Portfolio Component Evaluation and Approval,"Evaluate and approve project portfolio components (projects, programmes, and sub-portfolios) based on their strategic contribution, and their ranking and rating versus alternative components. Evaluate the potential impact on cash flow of prioritizing the portfolio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
